abadejo	abadejos
ejemplo	ejemplos
ejercer	ejércete|ejérzalos|ejercedlo|ejerciéndote|ejerciéramos|ejercerte|ejercemos|ejerciéremos|ejérzalas|ejerzámoste|ejerceré|ejerceremos|ejercedlas|ejercedle|ejércelas|ejercierais|ejerceríais|ejerce|ejerció|ejerciéndome|ejercieran|ejérzanlo|ejerzas|ejercerla|ejérzales|ejerciéndonos|ejercerías|ejerzan|ejerciéndose|ejercerlos|ejerzo|ejerza|ejérzanla|ejérzame|ejerces|ejercisteis|ejerciéndoles|ejérzale|ejercerme|ejércela|ejercerlas|ejercés|ejérceles|ejercéis|ejerzámosle|ejerzamos|ejercedlos|ejércelos|ejercería|ejercieras|ejérzase|ejércenos|ejercieseis|ejérzalo|ejercidas|ejerzámoos|ejérceme|ejerzámonos|ejerciste|ejérzanse|ejerciéndolos|ejerzámoslo|ejercernos|ejercedme|ejerzámoslas|ejercían|ejérzanos|ejerciereis|ejerceréis|ejércele|ejercerles|ejerzámosles|ejercido|ejerciese|ejérzanlos|ejerzámoslos|ejércelo|ejérzala|ejercieren|ejercieres|ejercidos|ejercieron|ejercíais|ejerciéndolas|ejérzanme|ejercieses|ejérzannos|ejercednos|ejercías|ejercé|ejercí|ejerzás|ejerciéndolo|ejerceros|ejerzáis|ejerciéndola|ejerced|ejercen|ejerciéndole|ejerciera|ejerciendo|ejérzanles|ejercedla|ejercerán|ejerceríamos|ejercedles|ejercerse|ejercerle|ejerciésemos|ejercimos|ejercida|ejerciesen|ejerciere|ejercíamos|ejerzámosla|ejercerían|ejercía|ejérzanle|ejercerlo|ejérzanlas|ejercerás|ejercerá|ejerciéndoos|ejerceos
ejercicio	ejercicios
ejército	ejércitos
elaboración	elaboraciones
elaborar	elaborare|elaborareis|elaborarles|elaborásemos|elaborarle|elaborarían|elaborarás|elaboraré|elaboradlas|elaborarla|elabórela|elaborémoslos|elaborémonos|elaboraba|elaboramos|elaborándole|elabórales|elaborémoslas|elaboradlo|elaborarías|elaboras|elaboraran|elaboraras|elaborándose|elaborando|elaborándoos|elaborémosles|elaboráramos|elaborada|elaboremos|elaborara|elabórense|elabórennos|elaborarlas|elabóralo|elabores|elaboradas|elaborarte|elabórenme|elaboraréis|elaborándome|elaborarán|elaborándolos|elaborándolas|elabórele|elaboraban|elaboraos|elaborabais|elaboradla|elaborabas|elabórame|elaboradle|elaborados|elaboraremos|elabórate|elaborábamos|elaboráis|elaboraren|elaboran|elaboradles|elaborases|elaboraríamos|elaborémosla|elaboró|elabóreles|elaborarais|elaborarse|elabóreme|elabórelas|elaboraríais|elaborase|elaborado|elabórelos|elaborasen|elaboráremos|elabóralos|elaborémoos|elaboréis|elaboradlos|elaboré|elaboraros|elaboraría|elaborémosle|elabórenles|elaborándoles|elaborará|elabóralas|elaboraron|elaborémoslo|elaboradnos|elaborándonos|elaborá|elabora|elabórelo|elaborándola|elaborándolo|elabore|elabórenle|elaborarlos|elaborás|elabórenlas|elaborémoste|elaborándote|elaborares|elabórese|elaborarlo|elabórenlo|elabórale|elabórenlos|elaborarme|elaboradme|elabórenla|elabórala|elaboro|elabóranos|elaboraseis|elaboraste|elaborad|elaborés|elaborarnos|elaboren|elabórenos|elaborasteis
elasticidad	elasticidades
elección	elecciones
electivo	electiva|electivas|electivos
elector	electores|electoras|electora
electorado	electorados
electoral	electorales
electricidad	electricidades
electricista	electricistas
electrificación	electrificaciones
electrizar	electrizando|electrícelos|electrícenla|electrícenme|electrícenos|electrícennos|electrizaba|electrizarás|electrizareis|electrizaras|electrizasteis|electrizándonos|electrízale|electrizadle|electrízalo|electricemos|electrizándolos|electrízate|electrizándola|electrizarla|electrícela|electrizándoles|electrizan|electriza|electrizáis|electrizarle|electrizará|electrizarlo|electrizásemos|electrizarlas|electrícele|electrízanos|electrizarías|electricémosles|electrícenlas|electricen|electrizaren|electríceme|electrizás|electrizado|electrizá|electrizarlos|electrizamos|electrizare|electrizáremos|electrizándolo|electricé|electrizarse|electrizaran|electrizó|electricémoslo|electrizaos|electrizara|electrícenles|electrizabais|electricémosla|electrizasen|electrízalos|electrizándose|electrizaríais|electrícenlos|electrizados|electrizadlos|electrizaréis|electrizadme|electricémoslos|electrizadlo|electrizadnos|electrízame|electrizaseis|electrícese|electrizarte|electrizadlas|electrizaría|electríceles|electrízalas|electrícelo|electrizaremos|electrizándote|electrízala|electrizada|electrizares|electrice|electricémoste|electrizas|electrízales|electrizaron|electricémosle|electrizo|electrizarme|electrizándoos|electrizarán|electrícelas|electrizabas|electrizáramos|electrizaban|electrizándolas|electrizadles|electrícenle|electrizarían|electrizábamos|electrizarnos|electricémoos|electrizadas|electrizaríamos|electrizaré|electrizad|electrizaros|electrizarles|electrizadla|electrizaste|electrícense|electrices|electrizándome|electricés|electrizases|electricéis|electrícenlo|electrizarais|electrizándole|electricémoslas|electrizase|electricémonos
electrocardiografía	electrocardiografías
electrocardiograma	electrocardiogramas
electrocución	electrocuciones
electrocutar	electrocutara|electrocutadme|electrocutábamos|electrocútala|electrocútenos|electrocutabas|electrocútennos|electrocutare|electrocutarán|electrocutada|electrocútelos|electrocutaríais|electrocutabais|electrocutáramos|electrocutadla|electrocutaste|electrocútenme|electrocutadlo|electrocutarías|electrocutaba|electrocutarle|electrocutarnos|electrocutaréis|electrocutarme|electrocútalo|electrocutémonos|electrocutaras|electrocutaban|electrocutaría|electrocutéis|electrocútelas|electrocutándome|electrocútalas|electrocútese|electrocutándolos|electrocútense|electrocutarás|electrocutándole|electrocutaríamos|electrocutadnos|electrocutáis|electrocutares|electrocutad|electrocútenlos|electrocutarlas|electrocútales|electrocutadlos|electrocúteme|electrocútanos|electrocutamos|electrocuto|electrocutes|electrocutándola|electrocutarte|electrocútate|electrocuté|electrocutas|electrocutemos|electrocútenle|electrocútele|electrocútenla|electrocutaren|electrocutarlos|electrocútame|electrocutadles|electrocutaremos|electrocutasen|electrocutándolo|electrocutándose|electrocutás|electrocútelo|electrocutadas|electrocutados|electrocutó|electrocútenlo|electrocuta|electrocutémoos|electrocutaron|electrocúteles|electrocutándonos|electrocutémoslos|electrocutadle|electrocuten|electrocútenles|electrocutaos|electrocutarse|electrocutasteis|electrocutarais|electrocutándote|electrocutémosles|electrocútela|electrocutases|electrocutaseis|electrocutémoste|electrocutáremos|electrocutase|electrocutándoos|electrocutémosle|electrocutadlas|electrocutá|electrocutado|electrocutásemos|electrocutando|electrocutémosla|electrocútenlas|electrocutará|electrocutándoles|electrocutándolas|electrocutaros|electrocutarlo|electrocutan|electrocute|electrocútalos|electrocutarla|electrocutaran|electrocútale|electrocutémoslo|electrocutémoslas|electrocutés|electrocutareis|electrocutaré|electrocutarían|electrocutarles
electrodo	electrodos
electroencefalografía	electroencefalografías
electroimán	electroimanes
electromagnetismo	electromagnetismos
electroterapia	electroterapias
electrólito	electrólitos
electrón	electrones
electrónica	electrónicas
electrónico	electrónicos|electrónicas|electrónica
elefante	elefantes|elefanta|elefantas
elefantino	elefantinos|elefantinas|elefantina
elegancia	elegancias
elegibilidad	elegibilidades
elegir	elijámoste|elegirlas|elegíos|elegidos|elíjanles|elegía|electas|eligiéndolo|eligieseis|elíjanla|elegirme|elígela|elígeles|elíjalas|elíjase|elijas|elíjales|eligiéndoos|elijámoos|eligiéndoles|elegirte|elegiste|elegidas|elíjanle|elegíamos|elegida|elíjanos|eligiéramos|elija|elijámosles|elígenos|elíjalo|elíjalos|elijámosle|eligiera|elíjame|elegiros|elegid|elegí|elegiríamos|eligiese|eligiere|elegirnos|elegiremos|eligió|elijámoslos|elegirlos|elegimos|eligiéremos|elíjala|electo|eligieran|elegirá|eligiéndolas|eliges|elegido|eligiésemos|elegirle|elegidlas|elíjanlo|elegís|elijás|elegirse|elegiréis|eligiéndome|eligiéndola|elegirás|elijámosla|elegirla|elegidla|elijáis|elijamos|elegirán|eligierais|electa|elíjanlos|elíjanse|elegidles|eligiéndonos|elegirles|elegidnos|elegisteis|eligieres|elíjanme|elijámoslo|elegirías|eligiéndote|electos|elíjannos|elegidlos|eligiereis|elígete|elegíais|elígeme|eligieren|eligiéndose|elegirían|elegidme|eligiesen|elígelas|elijámoslas|eligieras|elígelo|eligiéndole|elijo|elegiré|eligiéndolos|eligieses|elegirlo|elijámonos|elige|elegiría|elíjale|elegías|eligiendo|elijan|elígelos|elígele|elegidle|elegidlo|elíjanlas|elegiríais|elegían|eligieron|eligen
elemental	elementales
elemento	elementos
elevación	elevaciones
elevado	elevadas|elevada|elevados
elevar	elevase|elévenlo|elevabais|elevaríamos|elevándolas|elevaréis|elevabas|elevarlos|elevamos|elevémoslos|elevaste|elevémonos|elevémosles|eléveme|elevasteis|elévale|elevadlos|elevarás|elevarías|eleváis|elevándola|elevasen|elevarles|elévenlas|elévenlos|elévelo|elévela|elévennos|elevo|elevándolos|elévenos|elevemos|elevándose|elévele|elevó|elevas|elevarla|elevémosla|elevés|elevémoste|elevadlo|elevarle|elevare|elevándoos|elevaran|elevás|elevándole|elévelos|elevaré|elevada|elevábamos|elevémosle|elevases|elevarían|elevara|elevadnos|elevándote|elévate|elevarais|elevásemos|elevaros|elevaba|elevareis|elevaría|elevá|elevémoslas|elévala|elevaren|elevándoles|elévenles|elevadles|elévalos|elevando|eleváramos|elevé|elevéis|elevarán|elevarme|eleváremos|elevaras|elevarse|elevadas|elevadle|elevadlas|elevará|elevados|elevaron|elevarlo|elévese|elévenle|elevaban|elevarnos|eleve|elévalo|elevado|elévelas|elévense|elevándome|eleven|elevan|elevares|elévame|elevad|elevadme|elévenme|elévales|elevaremos|elevándolo|elévalas|elevémoslo|elevémoos|elevándonos|elévanos|elevarte|elevaseis|eleva|elevarlas|elevaos|elévenla|eléveles|eleves|elevaríais|elevadla
eliminación	eliminaciones
elipse	elipses
elipsoide	elipsoides
elite	elites
elixir	elixires
elocución	elocuciones
elocuencia	elocuencias
elogiar	elogiadla|elogiéis|elogiarles|elogiémosla|elogiases|elogiamos|elogiaremos|elógialos|elogiarme|elogiadme|elogiándolas|elogiaré|elógielos|elógiense|elogiado|elogie|elogiáramos|elogiemos|elogiarse|elogiásemos|elogiaste|elogia|elógiales|elógiame|elogiadnos|elógienme|elogiaríamos|elogiadlo|elógiate|elogiarte|elogiares|elógienles|elogiarla|elógienlo|elógienlas|elogio|elogiada|elógiese|elogiémoslos|elógieles|elogiá|elogias|elogiaos|elogiándote|elogiaran|elogiémoste|elogiaren|elógieme|elógielo|elogiándoles|elogiaron|elogié|elogiarlas|elógiele|elogiándola|elogiés|elogiadas|elogiábamos|elogiará|elogiabais|elogiasteis|elogiadle|elogiarlo|elogiémoos|elógienle|elogiaría|elógienlos|elogiaban|elogiaba|elogiaréis|elogiándolos|elógielas|elogiarnos|elogiadlas|elogiémoslo|elogiara|elogiasen|elogies|elogiémosles|elogiémonos|elógiale|elogiaríais|elogiarais|elogiándose|elogien|elogiás|elogiareis|elogiaseis|elogiando|elogiémosle|elogiándonos|elogiarían|elogiáis|elogiare|elogiarías|elogian|elogiémoslas|elogiarle|elógienla|elogió|elogiados|elogiadlos|elogiaras|elogiarlos|elógienos|elógiala|elogiándole|elogiándome|elogiase|elogiarán|elógiela|elogiad|elógialo|elogiáremos|elógiennos|elógianos|elogiarás|elogiándolo|elogiándoos|elogiadles|elógialas|elogiabas|elogiaros
elogio	elogios
elucidar	elucidás|elucidarías|elucídelos|elucídenlos|elucidando|elucidabas|elucidadnos|elucidándote|elucidare|elucídanos|elucidarnos|elucídales|elucidadle|elucídele|elucidadlos|elucidases|elucidándonos|elucidadles|elucidadme|elucidado|elucidase|elucidaras|elucidaren|elucidémoste|elucidaré|elucidándoles|eluciden|elucidó|elucídame|elucídelas|elucidaran|elucidemos|elucidaremos|elucidaban|elucídenles|elucidémoos|elucidés|elucidáramos|elucidada|elucidaros|elucidará|elucidares|elucida|elucídense|elucidareis|elucídela|elucidándoos|elucídate|elucidándole|elucidémoslos|elucidarles|elucídenlo|elucidaríais|elucidáremos|elucidara|elucidéis|elucídalo|elucidaron|elucidáis|elucídalos|elucidémosla|elucidad|elucídese|elucidásemos|elucidarte|elucidándolo|elucidándose|elucidarme|elucidarse|elucidé|elucidados|elucídennos|elucidémoslas|elucidadas|elucidamos|elucidarais|elucidan|elucídalas|elucidaste|elucídeles|elucidémonos|elucidadlo|elucidarla|elucidadlas|elucídenle|elucidas|elucidasen|elucidémoslo|elucidaríamos|elucidarlo|elucidaos|elucídenla|elucidarás|elucidándola|elucidarán|elucidaría|elucidándome|elucidarlas|elucidaseis|elucidadla|elucidémosles|elucídenos|elucidándolas|elucídenme|elucidabais|elucidémosle|elucidasteis|elucides|elucidábamos|elucido|elucide|elucidarían|elucidaréis|elucídala|elucidarlos|elucidaba|elucídelo|elucídeme|elucídale|elucidarle|elucídenlas|elucidá|elucidándolos
eludir	eludieres|eludo|eluda|eludiesen|eludiéndome|eludirías|eludámosles|elúdame|elúdelas|eludámoslas|eluden|eludías|eludieren|elúdanos|eludiereis|eludirlo|eludiéndole|elúdanme|eludidlo|elúdelo|eludidas|eludieran|elúdales|eludiéndolas|eludámosle|eludas|eludámoslos|eludirás|eludid|eludiéndonos|eludida|eludámoslo|eludiéndolo|eludiros|eludiéndoles|eludió|eludisteis|eludidlas|eludirnos|eludiréis|eludiese|elúdanse|eludirían|elúdanlos|eludiremos|eludierais|elúdannos|elúdanle|eludiéndote|eludiéndose|eludamos|elúdete|eludiré|eludimos|eludirme|eludan|eludiríais|elúdanles|eludiéndoos|eludes|elúdanlas|elúdanla|eludidles|eludiésemos|eludidos|eludás|eludiera|eludíos|eludiste|eludiéramos|eludiéndolos|eludáis|eludidnos|eludiéremos|eludirlas|eludidme|elúdale|eludieses|eludámoos|eludíamos|eludiere|eludirle|eludí|eludidle|eludido|eludís|eludieron|elúdelos|eludidla|eludiría|eludiendo|eludirte|eludiríamos|elúdalos|eludíais|eludirse|eludiéndola|eludía|elúdele|eludámoste|elúdase|elúdeles|eludirlos|eludámosla|elúdeme|eludidlos|elúdanlo|elúdela|eludirá|eludirles|elúdalas|eludieseis|eludirla|eludámonos|eludían|elúdenos|elúdalo|eludieras|eludirán|elude|elúdala
elástico	elásticos|elásticas|elástica
eléctrico	eléctrica|eléctricas|eléctricos
elíptico	elíptica|elípticas|elípticos
emanación	emanaciones
emanar	emanémoslos|emanaban|emánala|emanadles|emánenle|emanarais|emanasen|emanásemos|emanas|emanaren|emanaba|emanadas|emanaros|emane|emánelas|emanaré|emanen|emanándome|emanarlo|emánate|emánese|emanarte|emanará|emánennos|emanó|emanaras|emánanos|emanadnos|emánenles|emáneles|emánenla|emanados|emanarle|emanémoslo|emanarías|emanabas|emánenme|emanarlos|emanara|emanaríais|emanases|emanadlas|emanada|emané|emanarme|emánalos|emanadme|emanarás|emanémoste|emanémoslas|emanándolos|emánenos|emanan|emanémosla|emanás|emanándonos|emánenlo|emanarnos|emáname|emanáis|emánense|emanado|emanareis|emanáramos|emanándote|emana|emánalas|emanadle|emánalo|emano|emanémosles|emanaran|emánele|emaná|emanés|emanándole|emánelo|emánela|emanéis|emáneme|emanarlas|emánales|emanábamos|emanaría|emanaron|emanémonos|emanándoles|emanaste|emanamos|emanarles|emanaréis|emanémoos|emanadlos|emanarán|emanándoos|emanemos|emanándola|emanaos|emanarían|emanase|emanare|emanadla|emanándolas|emánale|emanarla|emanabais|emánenlas|emanes|emanaremos|emanando|emánelos|emanándose|emanémosle|emanadlo|emanáremos|emanaseis|emanarse|emanares|emanasteis|emánenlos|emanándolo|emanaríamos|emanad
emancipación	emancipaciones
emancipar	emancipáremos|emancipándote|emancipadles|emancípenles|emanciparse|emancipé|emancípalo|emancipásemos|emancipándose|emanciparos|emancipabais|emancípenme|emancipadas|emancípelas|emancipés|emancípale|emancipáis|emancipándole|emancípame|emancipas|emancipémosla|emanciparán|emancípalas|emancipándola|emancipémoslos|emancipase|emancipadnos|emancipémoslas|emancipadlo|emanciparan|emanciparte|emancipado|emancípenos|emanciparais|emanciparme|emancipás|emanciparíais|emanciparen|emancipada|emancípenla|emancípelos|emanciparía|emancipémosles|emanciparéis|emancipara|emancípelo|emancipéis|emancipábamos|emancipadle|emancipados|emancipándonos|emancipamos|emancipadla|emanciparon|emancipares|emancipadlos|emanciparé|emanciparas|emancipareis|emancipa|emancipémoste|emancípanos|emanciparnos|emanciparlo|emancipémonos|emancipe|emancipad|emancipándolos|emancipaste|emancipáramos|emanciparíamos|emancipadlas|emancipaban|emancípenle|emancípenlos|emancipaba|emanciparías|emancípeles|emanciparle|emancípales|emancipaos|emancípate|emancipabas|emancipare|emanciparla|emanciparlas|emancípele|emancípense|emancipes|emancipases|emancípenlas|emancipen|emancipándolas|emancípenlo|emancípennos|emancipará|emancipándoos|emancípala|emancipasteis|emanciparlos|emancípeme|emancipémosle|emancipadme|emancípela|emancipó|emancípalos|emancipá|emancipan|emancipasen|emanciparles|emancipándome|emancipémoslo|emancipaseis|emancipo|emancipémoos|emanciparás|emanciparemos|emancipemos|emancipando|emancipándolo|emanciparían|emancipándoles|emancípese
embajada	embajadas
embajador	embajadores|embajadora|embajadoras
embalaje	embalajes
embalsamar	embalsamarán|embalsamarla|embalsamarme|embalsamándose|embalsamémoslos|embalsamaríais|embalsamasteis|embalsamadnos|embalsamamos|embalsamarnos|embalsamas|embalsamás|embalsámelas|embalsamaríamos|embalsámenla|embalsámenlos|embalsamará|embalsamándole|embalsamarse|embalsamados|embalsamare|embalsamándola|embalsámenlo|embalsamáis|embalsamaron|embalsamásemos|embalsámense|embalsámate|embalsamares|embalsamémoos|embalsamándome|embalsamémosle|embalsamá|embalsámenlas|embalsaman|embalsamaran|embalsámelo|embalsames|embalsámenme|embalsámenle|embalsamarías|embalsamándonos|embalsamabas|embalsamé|embalsámales|embalsamáramos|embalsamo|embalsamaremos|embalsámeles|embalsámala|embalsamémonos|embalsamadlo|embalsamaseis|embalsamarás|embalsamadle|embalsamado|embalsamadla|embalsamases|embalsamaré|embalsamara|embalsamadlos|embalsámale|embalsámenles|embalsamen|embalsamando|embalsámele|embalsámelos|embalsamaste|embalsámeme|embalsámalo|embalsámame|embalsamaría|embalsamémoslo|embalsamadme|embalsama|embalsamémosla|embalsamaba|embalsamad|embalsámela|embalsámese|embalsamáremos|embalsamadles|embalsamaos|embalsamés|embalsamaréis|embalsamarían|embalsamándolas|embalsamadlas|embalsamareis|embalsamándoos|embalsaméis|embalsamémoslas|embalsamarte|embalsamarais|embalsamaban|embalsamarlo|embalsamó|embalsamarle|embalsame|embalsámanos|embalsamándote|embalsamarlos|embalsamémosles|embalsamase|embalsámenos|embalsámalos|embalsamarlas|embalsamada|embalsamándolo|embalsamaros|embalsamasen|embalsamabais|embalsamaren|embalsamarles|embalsamaras|embalsamemos|embalsámennos|embalsamadas|embalsámalas|embalsamémoste|embalsamándolos|embalsamábamos|embalsamándoles
embarazo	embarazos
embarazoso	embarazosos|embarazosa|embarazosas
embarcación	embarcaciones
embarcar	embarcados|embarcasen|embarcarlo|embarcaba|embarcare|embarcadles|embarcarais|embárquelo|embárquenme|embarcada|embarcándola|embárcale|embarcarla|embarcarías|embarquémoslos|embárquennos|embarcarte|embárquenla|embarqué|embarquémoslas|embarcaríamos|embarcándoos|embárcalas|embárquenle|embarcarle|embarcadlos|embarcás|embarcaros|embarcarme|embárcalo|embarquéis|embarcándolo|embárquelos|embárquense|embarcarse|embarcaban|embarcamos|embárquenlas|embarcad|embarcándoles|embarcado|embarcareis|embarque|embarcáremos|embarcarían|embarcaras|embarcaran|embarcaos|embarcares|embarquémoslo|embárquenlos|embarcaren|embárquelas|embarcáis|embarquémosle|embarcándome|embarco|embarquémoste|embarques|embárcala|embarcasteis|embarcábamos|embarcarás|embárcate|embarcaréis|embárcales|embarcándolos|embarcases|embarcaron|embarcadnos|embarcadme|embarcaste|embarcáramos|embarcásemos|embarcándole|embarcaremos|embarquemos|embarcase|embarcan|embarcadlo|embarcabas|embarcadla|embárquenles|embárqueles|embarcadas|embarquen|embárquese|embarcándose|embarcarán|embarcando|embarcándolas|embarcarlas|embarca|embarcadle|embarcadlas|embarcarles|embarquémoos|embarcarlos|embarcándonos|embárquele|embárqueme|embarquémosles|embarcara|embarcarnos|embarquémosla|embárcame|embarquémonos|embarqués|embarcaría|embarcó|embarcá|embarcas|embarcabais|embarcaseis|embárquenos|embárcalos|embárquela|embarcará|embárcanos|embarcaré|embárquenlo|embarcaríais|embarcándote
embargar	embargabas|embarguémoos|embárgale|embarguémosles|embargadles|embargadlos|embargando|embarguémonos|embargarían|embargándote|embargáis|embargare|embargada|embargándose|embargándome|embargásemos|embargarlas|embargara|embargase|embargaste|embargaremos|embargaban|embargadme|embargabais|embargad|embargás|embargues|embarguémoslo|embargado|embargarías|embargaréis|embargaríais|embargarte|embárguennos|embargaría|embargó|embargarlo|embargándolas|embargareis|embargarnos|embargadnos|embargarán|embargáremos|embárganos|embargáramos|embargándolos|embarguen|embárguense|embárguenos|embargue|embargarais|embarguéis|embargaren|embargarle|embárgame|embárgueme|embargasen|embargadlo|embargué|embargaré|embargará|embargaras|embarguémoste|embárgala|embárguese|embargándola|embargándole|embargándoos|embárgalo|embargaríamos|embárgales|embargamos|embárguela|embárguenlas|embárgate|embargarme|embárguelo|embarguemos|embargases|embárguenle|embargadla|embargo|embargados|embárguelas|embarguémosla|embarguémoslos|embargas|embargaron|embárguenla|embarga|embargan|embargándoles|embarguémosle|embargares|embargarlos|embargaran|embargándonos|embárgalos|embargaseis|embargaos|embargaba|embargándolo|embargábamos|embargarse|embarguémoslas|embargaros|embargarles|embargadle|embargadlas|embárguenlo|embárgalas|embárguelos|embargasteis|embargués|embárguenlos|embárguenme|embargá|embargarla|embárgueles|embárguele|embargarás|embargadas|embárguenles
embargo	embargos
embarque	embarques
embaucar	embaucarle|embáuquenle|embaucándolos|embauques|embáuquense|embaucadles|embaucaré|embaucado|embaucareis|embaucaban|embaucarte|embauquémoste|embauquémosle|embaucadme|embaucáis|embaucándolas|embáuqueme|embaucásemos|embaucaos|embaucando|embáuqueles|embaucáramos|embáuquenles|embáucalos|embaucadlas|embaucaran|embaucad|embáuquenlos|embauquémoslo|embauco|embaucaseis|embaucaremos|embaucará|embáuquelas|embaucás|embáuquenla|embaucada|embaucadlos|embauque|embáucalas|embauquémonos|embauquémoslas|embauquémosles|embaucarlo|embaucaros|embaucarían|embaucabas|embaucare|embaucándoles|embáuquenos|embaucan|embaucarlos|embáucate|embáuquelo|embaucarse|embaucarla|embáuquenme|embauquémosla|embaucados|embaucaste|embaucaría|embáucales|embaucaras|embaucándote|embaucáremos|embaucadla|embaucándonos|embaucándole|embauca|embauquéis|embaucándose|embauquémoos|embaucadlo|embaucaréis|embáuquennos|embáuquenlas|embaucándolo|embaucases|embauquen|embaucarlas|embaucarais|embaucadas|embaucá|embaucase|embáuquese|embaucarías|embaucaríais|embaucaren|embauqués|embáucanos|embaucaron|embauquemos|embauqué|embáuquenlo|embaucasen|embaucándome|embaucándola|embaucarás|embaucó|embáuquelos|embaucaba|embaucarme|embaucarnos|embáuquele|embaucarles|embáucame|embaucabais|embaucadnos|embaucábamos|embáucalo|embaucarán|embaucas|embauquémoslos|embáucala|embaucadle|embaucándoos|embaucamos|embaucaríamos|embaucasteis|embaucares|embaucara|embáuquela|embáucale
embeber	embebiere|embebámoslo|embebéis|embebiéramos|embebiendo|embébelas|embebería|embeberían|embébale|embebieren|embébalos|embébanles|embeberíais|embeberás|embebiéndoos|embébannos|embebas|embeben|embeberlas|embébenos|embébanme|embébase|embeberlo|embebedlos|embeberla|embebiereis|embebiera|embébanlos|embebiéremos|embebieron|embebiéndonos|embeban|embébalo|embebiese|embebieseis|embeberé|embébalas|embebedles|embeberías|embebámosle|embébanlas|embebiesen|embebíais|embeberéis|embébelos|embebámoslos|embebían|embeberse|embébelo|embebiéndose|embebáis|embebiéndola|embebé|embébanle|embébela|embebimos|embeberle|embeberos|embebámoslas|embebednos|embebiéndolo|embébanos|embebiéndole|embebiéndote|embebedla|embebámosla|embeberán|embebed|embebiéndoles|embeba|embeberte|embebés|embebernos|embébanla|embébales|embebiéndome|embébanse|embebí|embebisteis|embebemos|embebido|embebiéndolos|embebás|embébeme|embébele|embebía|embebámoste|embebedlo|embebes|embebió|embeberá|embebámoos|embebiéndolas|embeberíamos|embebida|embeberlos|embébala|embebidas|embebedle|embebías|embebámosles|embebe|embebo|embébeles|embebieran|embebámonos|embébame|embebieres|embebierais|embeberemos|embebedlas|embébanlo|embebeos|embeberme|embebedme|embebiésemos|embebidos|embebamos|embebieses|embebieras|embebíamos|embébete|embeberles|embebiste
embelesar	embelesaros|embelesaré|embelesémosla|embelesándola|embelésala|embelesadla|embelesaos|embelesarlas|embelesaban|embelesándole|embelesadlos|embelésenla|embelésele|embelésenos|embelesándoos|embelesáramos|embelésenle|embelesase|embelesases|embeleses|embelesen|embelesaron|embeleso|embelesaremos|embelesamos|embelesadnos|embelesarlos|embelesándolo|embelesare|embelésalas|embelésalos|embelesémoos|embelesaríais|embelesemos|embelésate|embelesareis|embelesándome|embelesándote|embelesadas|embelesarais|embelesándolas|embelesaran|embelesábamos|embelesáremos|embelésenlo|embeléseme|embelesémonos|embelesadle|embelesarla|embelésennos|embelesó|embelésame|embelesándose|embelesémoste|embelesémoslos|embelesémosle|embelesaréis|embelésale|embelesaría|embelésales|embelesa|embelesarán|embelésenme|embelesaren|embelesadlo|embelesás|embelesado|embelesémoslo|embelesarías|embeléselos|embelesas|embelesarían|embelesadme|embelesarás|embeléselas|embelesad|embelesarlo|embelésenlas|embelésenles|embelesabais|embelesará|embelesaríamos|embelésanos|embelesada|embelesándoles|embelesasen|embelesásemos|embelesés|embelesaste|embelesándonos|embelésese|embelese|embelesarnos|embeleséis|embelesares|embelesá|embelesándolos|embelesarle|embelesan|embelesáis|embelesadles|embelesasteis|embelesémosles|embeléseles|embelesémoslas|embelésenlos|embelésela|embelesarte|embelesarles|embelesados|embelesaras|embelesarme|embelesara|embelesando|embelesadlas|embelesaseis|embelesarse|embelésense|embelesaba|embelésalo|embeléselo|embelesabas|embelesé
embellecedor	embellecedora|embellecedores|embellecedoras
embellecer	embellezcámosles|embelleciéndonos|embellecíamos|embelleciéramos|embelleciéndoles|embelléceme|embellezcámonos|embellécela|embellecés|embellezcámoslo|embellezcámosla|embellecerme|embellézcanlas|embellézcale|embellecisteis|embellézcanse|embellecíais|embellecedle|embellecerle|embellecido|embelleceríamos|embellecerían|embellecedlos|embellecieras|embellézcanlos|embellézcannos|embellezco|embelleciéndoos|embelleciera|embellecerlos|embelleciéndose|embellézcalos|embellecieses|embelleciéndome|embellézcanos|embellecieron|embellecerán|embelleceos|embellece|embellecéis|embelleciereis|embellézcase|embellecerlo|embellézcalo|embellecerá|embellecedla|embelleciesen|embelleciéndola|embellézcales|embellecí|embellecían|embellecerlas|embellezcáis|embellecieran|embellezcámoos|embellezcámoste|embellezcas|embellécelos|embellézcanles|embellecé|embellecednos|embellecieseis|embellécete|embellecedlo|embellécele|embelleciéremos|embelleciere|embelléceles|embelleceríais|embellecida|embellezcámoslas|embelleceré|embellecernos|embellecidos|embellecedme|embellezcámoslos|embelleciéndolo|embelleciendo|embellezca|embellecieres|embelleced|embellézcame|embellézcanlo|embellécelo|embellézcanle|embellézcalas|embellézcanla|embellecerla|embellezcámosle|embellecedles|embellezcamos|embellézcala|embellecierais|embelleceros|embelleciste|embellecerás|embellécenos|embelleciéndote|embellecerles|embelleces|embellézcanme|embellecedlas|embelleciese|embellezcan|embelleciéndolas|embelleceréis|embellecerte|embellecerse|embelleciéndolos|embellezcás|embellecen|embellecemos|embellecía|embellecería|embelleció|embellecerías|embelleceremos|embellecías|embelleciéndole|embellecidas|embelleciésemos|embellecieren|embellecimos|embellécelas
